id,student_id,question_id,topic,subtopic,question_level,answer,date,duration,option_selected
7099,1351,290,18,11,2,0,2020-01-08 09:59:13+00,,
7100,1351,777,18,11,4,0,2020-01-08 09:59:13+00,,
7101,1351,782,18,11,1,1,2020-01-08 09:59:13+00,,
7102,1351,292,18,11,1,0,2020-01-08 09:59:13+00,,
7103,1351,781,18,11,4,1,2020-01-08 09:59:13+00,,
7104,1351,380,18,11,1,0,2020-01-08 09:59:13+00,,
7105,1271,779,18,11,4,1,2020-01-08 10:02:17+00,,
7106,1271,288,18,11,4,0,2020-01-08 10:02:17+00,,
7107,1271,382,18,11,1,0,2020-01-08 10:02:17+00,,
7108,1271,381,18,11,4,0,2020-01-08 10:02:17+00,,
7109,1271,385,18,11,1,0,2020-01-08 10:02:17+00,,
7110,1271,292,18,11,1,0,2020-01-08 10:02:17+00,,
7111,1271,783,18,11,5,0,2020-01-08 10:02:17+00,,
7112,1271,777,18,11,4,0,2020-01-08 10:10:22+00,,
7113,1271,381,18,11,4,1,2020-01-08 10:10:22+00,,
7114,1271,385,18,11,1,1,2020-01-08 10:10:22+00,,
7115,1271,290,18,11,2,0,2020-01-08 10:10:22+00,,
7116,1271,292,18,11,1,0,2020-01-08 10:10:22+00,,
7117,1271,783,18,11,5,0,2020-01-08 10:10:22+00,,
7118,1271,782,18,11,1,1,2020-01-08 10:10:22+00,,
7119,1311,293,18,11,2,0,2020-01-08 10:12:38+00,,
7120,1311,381,18,11,4,0,2020-01-08 10:12:38+00,,
7121,1311,306,18,11,2,0,2020-01-08 10:12:38+00,,
7122,1311,778,18,11,1,1,2020-01-08 10:12:38+00,,
7123,1311,783,18,11,5,0,2020-01-08 10:12:38+00,,
7124,1311,290,18,11,2,1,2020-01-08 10:12:38+00,,
7125,1311,382,18,11,1,1,2020-01-08 10:12:38+00,,
7126,1080,426,18,10,4,-1,2020-01-08 10:19:29+00,,
7127,1080,416,18,10,2,-1,2020-01-08 10:19:29+00,,
7128,1080,422,18,10,4,-1,2020-01-08 10:19:29+00,,
7129,1428,383,18,11,3,0,2020-01-08 10:20:27+00,,
7130,1428,291,18,11,3,0,2020-01-08 10:20:27+00,,
7131,1428,379,18,11,2,0,2020-01-08 10:20:27+00,,
7132,1428,376,18,11,5,0,2020-01-08 10:20:27+00,,
7133,1428,437,18,11,2,0,2020-01-08 10:20:27+00,,
7134,1428,324,18,11,4,0,2020-01-08 10:20:27+00,,
7135,1428,325,18,11,3,0,2020-01-08 10:20:27+00,,
7136,1402,380,18,11,1,0,2020-01-08 10:22:54+00,,
7137,1402,306,18,11,2,0,2020-01-08 10:22:54+00,,
7138,1402,293,18,11,2,1,2020-01-08 10:22:54+00,,
7139,1402,381,18,11,4,0,2020-01-08 10:22:54+00,,
7140,1402,289,18,11,4,0,2020-01-08 10:22:54+00,,
7141,1402,288,18,11,4,0,2020-01-08 10:22:54+00,,
7142,1402,782,18,11,1,0,2020-01-08 10:22:54+00,,
7143,168,289,18,11,4,0,2020-01-08 10:37:57+00,,
7144,168,382,18,11,1,1,2020-01-08 10:37:57+00,,
7145,168,782,18,11,1,1,2020-01-08 10:37:57+00,,
7146,168,292,18,11,1,0,2020-01-08 10:37:57+00,,
7147,168,381,18,11,4,1,2020-01-08 10:37:57+00,,
7148,168,290,18,11,2,1,2020-01-08 10:37:57+00,,
7149,168,777,18,11,4,0,2020-01-08 10:37:57+00,,
7150,1322,277,18,11,3,1,2020-01-08 11:12:17+00,,
7151,1322,776,18,11,2,0,2020-01-08 11:12:17+00,,
7152,1322,443,18,11,5,0,2020-01-08 11:12:17+00,,
7153,1322,287,18,11,4,0,2020-01-08 11:12:17+00,,
7154,1322,321,18,11,3,0,2020-01-08 11:12:17+00,,
7155,1322,785,18,11,3,1,2020-01-08 11:12:17+00,,
7156,1322,378,18,11,5,0,2020-01-08 11:12:17+00,,
7157,168,381,18,11,4,1,2020-01-08 11:19:32+00,,
7158,168,380,18,11,1,1,2020-01-08 11:19:32+00,,
7159,168,306,18,11,2,1,2020-01-08 11:19:32+00,,
7160,168,777,18,11,4,-1,2020-01-08 11:19:32+00,,
7161,168,292,18,11,1,1,2020-01-08 11:19:32+00,,
7162,168,779,18,11,4,0,2020-01-08 11:19:32+00,,
7163,168,289,18,11,4,1,2020-01-08 11:19:32+00,,
